name,url
"Beep","1RhaRte-A_4LFzB6JnKJHzdTbDEq0MmGRMp1sj7sFRgg"
"$uicideboy$","17EjN1Q4F-FcKGWmZcjDYtCHk9VxwbHVhSrNyzxIb3xk"
"1oneam","https://docs.google.com/spreadsheets/d/1rtdjPkpufclNbMl5fI8sFqv1wDujz_LExp-Z-2yWubU/edit?gid=1721773079#gid=1721773079"
"21 Savage","https://docs.google.com/spreadsheets/d/1JpuQcs_H2BsuHi-Xjsdh6IID0hqwJ3Kwie90WZOXuxs/edit"
"24kGoldn","1EnVfwL51_-bS8Ts5ZLsev__dPyamxdMv2ak8uwPvTUA"
"2Pac","162700v9WXnlARzwp49s2h_fGHOGZGT6BgvbRuaNsq0Q"
"6LACK","https://docs.google.com/spreadsheets/d/1eOpb5vJGKhPthHDblR5MWletHPpH3HZEEO9pvy_3ypE/edit?gid=952840461#gid=952840461"
"6Vib3z","1Gk4Xacaw_IeqqcBm_1M_p4Gx3siGoIlwUp8d7hSnrAI"
"A$AP Ferg","1eR9EWx7g_W4SpzR4938NmGBj-ygk1a6J8XArjKj2stY"
"A$AP Rocky","1safK4FsrrdxRL5PEF_s-GibgVvyOlTpzx73Mbv-gFFw"
"Aaliyah","1QJR4Ku4Si5kLUL1P_vi9hCkkjDQvDWqafWiYc1v_Z8E"
"Addison Rae","https://docs.google.com/spreadsheets/d/1PV15r6OaScF7A7znOwL5BW_LZ8tZhroeASLFPiKY9qw/edit"
"Ameer Vann","https://docs.google.com/spreadsheets/d/1MVBKTgkGvxpQfptCBHOYVIjlnLARRS4hVnd7tipkPl4/edit?gid=0#gid=0"
"Andre 3000/Outkast","https://docs.google.com/spreadsheets/d/1GH87oWsiQezDEkXDjq9kya1yRK-2WkWXPnYReRpMvjA/edit?gid=2046246281#gid=2046246281"
"Ant Clemons","https://docs.google.com/spreadsheets/d/1r3hjoNlAag_fv6Pby7-srz74KCTLWDZbSqOjnjmJd4Y/edit?gid=0#gid=0"
"Arca","19FvRIlVG3J-H5WtxHry7CwB0VZ8JRJaJDlBpDKMGk04"
"Ariana Grande","1NPSgr4UzKl2-uwUMfxfnngM683NCqLMvm8ldExEjF6M"
"Aries","1EqhVlcb0vWcvYCPuH_zcHhZUUzl6osK9w4Pd61_qjEA"
"Ashnikko","1_u4QwBwudX9sJQBULs3fGw_RQqEdusSc2DbZrJ5geNw"
"ATEYABA","1CTPLBV3vNQffUySGzo1F4JqI03DdhtqBf_lcekckc9s"
"Aurora","1JEdMm2can97WcLx1_J7xoX2m7vtJvM0BZFvvD6fkOeA"
"Autumn!","1agKp0OhugMnCFrZ1sPt4ipdhGHRTdgyLUiDb344XZQY"
"Avicii","1eRRDzWDa01hT1P9wEYnOwkNihCkoCOfdh8vF6_OPQ34"
"Avril Lavigne","1Ukh2np499aeZCV0T8AXhbun5L1fvu46R5kVVrWMjkUA"
"Ayesha Erotica","17rGUQ3k3PZtRLeD6hxCxfp5iVLlId7Xr4zFD41sKZ4M"
"Baby Keem","1-FxUYaxBqav0G6txAAixy7bhTGs86sItN_0_F8ekeKQ"
"Bad Bunny","1fnP6ntFsxbVE0cYAShOpE-D1e-EoAomt2sNcgMu4jkg"
"Bebe Rexha","1G_2MUDtiMS5KEfesqIg5gVnSnfpH-1CP"
"Beyoncé & Destiny's Child","1j-dbqoDK6muD2wtXoYNzN5eKPXDy1gjnZ7S4m6dhvZI"
"Big L","1j77GozozsmEn48n1-EjLoYP46tUXvK3Ocx79urfnjLk"
"Big Sean","1IXtjgyqJyrM0oMJM2laH2kosdIYMbbHGGHUqHfVgPuE"
"Billie Eilish","1wS3D9gHB79NE7LrjEF3DXUxJzfex8VbkY0-1p2aV5Ew"
"Black Kray","1EqiP9dCrOx2KYeEyka-4gI1v2DmxXl4VixRiHqnbXfM"
"Bladee","1skAByFoveXb7PussjJWUBnyl5H8K79LoNpLslRTttNU"
"Blood Orange","14PqnpEv-BCyidKmFcVY8aEvhfGO2EMdGHQ_YV-IlEuo"
"Bon Iver","1M_0MVQOEitqd4lWmSKkfnt0l8BXllqVl9JETtt975fQ"
"Bonnie McKee","1YHAecEbAFcbHmEvuH9x0VUx9w0mQf7P06FxOvDX2caA"
"Brent Faiyaz","1cmJx1BlvgW6nYjZpiOpgzp8QZC6qN8b7op3w9D1N3HE"
"Britney Spears","1EhK4h2VWHpxfoH3M1mDZ02GraxIAIkN-MnP_YADEqXc"
"BROCKHAMPTON","1gM4-rRghgRUBr2cgWNsh-nawlUuh43guAM63dYVTdt8"
"Bryson Tiller","1oBhoj7x3pWHaGBtF2m3qmyc83_5QcNc0QYDmzs5K1nY"
"Big Time Rush","1dG9R8pS56qu6z4b9doOTWMN_uatsaECSbcA850FqTGA"
"Camilla Cabello","1XDIPvC8n0-HWXegsYWiTfcNeQ3tWwEoRAiMebPBInbk"
"Car Seat Headrest","1-0RHGji2btS7q6oZzsCC-BU5rzLEJqKxUHR8DiTgYyw"
"Cardi B","1B1oOQfja2uluNtb2cAooZC5wGzjSSW-cSjWJjwQJEyE"
"Carly Rae Jepsen","1T8YgFsccEHNiwBQxMg1030nbIY07blIubr31eJ6D9NE"
